Date, Latitude, Longitude, RCP 2.6 Range (low), RCP 2.6 Median, RCP 2.6 Range (high), RCP 4.5 Range (low), RCP 4.5 Median, RCP 4.5 Range (high), RCP 8.5 Range (low), RCP 8.5 Median, RCP 8.5 Range (high)
1950-01-01,63.74123679247037,-68.51145396725407,14.80,19.12,22.65,14.80,19.12,22.65,14.80,19.12,22.65
1951-01-01,63.74123679247037,-68.51145396725407,15.10,18.68,22.57,15.10,18.68,22.57,15.10,18.68,22.57
1952-01-01,63.74123679247037,-68.51145396725407,15.71,19.55,23.27,15.71,19.55,23.27,15.71,19.55,23.27
1953-01-01,63.74123679247037,-68.51145396725407,15.13,19.47,22.58,15.13,19.47,22.58,15.13,19.47,22.58
1954-01-01,63.74123679247037,-68.51145396725407,14.36,17.15,21.76,14.36,17.15,21.76,14.36,17.15,21.76
1955-01-01,63.74123679247037,-68.51145396725407,16.34,19.80,24.53,16.34,19.80,24.53,16.34,19.80,24.53
1956-01-01,63.74123679247037,-68.51145396725407,16.46,19.97,21.13,16.46,19.97,21.13,16.46,19.97,21.13
1957-01-01,63.74123679247037,-68.51145396725407,15.26,18.45,23.57,15.26,18.45,23.57,15.26,18.45,23.57
1958-01-01,63.74123679247037,-68.51145396725407,16.53,19.51,22.57,16.53,19.51,22.57,16.53,19.51,22.57
1959-01-01,63.74123679247037,-68.51145396725407,13.75,19.01,23.16,13.75,19.01,23.16,13.75,19.01,23.16
1960-01-01,63.74123679247037,-68.51145396725407,14.01,18.52,22.07,14.01,18.52,22.07,14.01,18.52,22.07
1961-01-01,63.74123679247037,-68.51145396725407,14.60,18.77,23.96,14.60,18.77,23.96,14.60,18.77,23.96
1962-01-01,63.74123679247037,-68.51145396725407,16.12,18.64,23.00,16.12,18.64,23.00,16.12,18.64,23.00
1963-01-01,63.74123679247037,-68.51145396725407,15.60,19.20,23.05,15.60,19.20,23.05,15.60,19.20,23.05
1964-01-01,63.74123679247037,-68.51145396725407,14.00,19.58,22.95,14.00,19.58,22.95,14.00,19.58,22.95
1965-01-01,63.74123679247037,-68.51145396725407,15.12,17.85,21.54,15.12,17.85,21.54,15.12,17.85,21.54
1966-01-01,63.74123679247037,-68.51145396725407,15.66,18.33,23.97,15.66,18.33,23.97,15.66,18.33,23.97
1967-01-01,63.74123679247037,-68.51145396725407,14.73,19.43,23.49,14.73,19.43,23.49,14.73,19.43,23.49
1968-01-01,63.74123679247037,-68.51145396725407,16.32,19.05,23.28,16.32,19.05,23.28,16.32,19.05,23.28
1969-01-01,63.74123679247037,-68.51145396725407,13.28,17.41,22.29,13.28,17.41,22.29,13.28,17.41,22.29
1970-01-01,63.74123679247037,-68.51145396725407,15.65,19.20,23.58,15.65,19.20,23.58,15.65,19.20,23.58
1971-01-01,63.74123679247037,-68.51145396725407,14.15,18.62,23.75,14.15,18.62,23.75,14.15,18.62,23.75
1972-01-01,63.74123679247037,-68.51145396725407,13.15,16.73,22.31,13.15,16.73,22.31,13.15,16.73,22.31
1973-01-01,63.74123679247037,-68.51145396725407,13.59,18.18,21.43,13.59,18.18,21.43,13.59,18.18,21.43
1974-01-01,63.74123679247037,-68.51145396725407,15.25,18.07,20.63,15.25,18.07,20.63,15.25,18.07,20.63
1975-01-01,63.74123679247037,-68.51145396725407,14.82,17.26,24.25,14.82,17.26,24.25,14.82,17.26,24.25
1976-01-01,63.74123679247037,-68.51145396725407,16.29,20.34,22.07,16.29,20.34,22.07,16.29,20.34,22.07
1977-01-01,63.74123679247037,-68.51145396725407,15.32,19.11,23.57,15.32,19.11,23.57,15.32,19.11,23.57
1978-01-01,63.74123679247037,-68.51145396725407,15.40,18.30,22.29,15.40,18.30,22.29,15.40,18.30,22.29
1979-01-01,63.74123679247037,-68.51145396725407,15.44,20.13,22.52,15.44,20.13,22.52,15.44,20.13,22.52
1980-01-01,63.74123679247037,-68.51145396725407,16.13,18.65,23.57,16.04,18.79,23.30,16.06,18.79,23.27
1981-01-01,63.74123679247037,-68.51145396725407,15.66,18.71,22.51,15.66,18.64,22.57,15.72,18.58,22.30
1982-01-01,63.74123679247037,-68.51145396725407,15.46,19.33,23.79,15.44,19.33,24.07,15.53,19.31,22.94
1983-01-01,63.74123679247037,-68.51145396725407,14.12,16.79,22.75,14.17,16.71,22.68,14.13,16.92,22.74
1984-01-01,63.74123679247037,-68.51145396725407,15.51,19.53,25.10,15.81,19.39,25.10,15.80,19.34,25.12
1985-01-01,63.74123679247037,-68.51145396725407,16.37,20.10,23.70,16.40,20.14,23.71,16.38,20.04,23.71
1986-01-01,63.74123679247037,-68.51145396725407,15.11,18.05,21.47,15.09,17.78,21.49,15.10,17.83,21.52
1987-01-01,63.74123679247037,-68.51145396725407,16.39,19.25,23.33,16.55,19.23,23.50,16.42,19.24,23.31
1988-01-01,63.74123679247037,-68.51145396725407,16.02,18.93,23.13,15.93,18.92,23.15,15.93,18.80,23.14
1989-01-01,63.74123679247037,-68.51145396725407,17.05,19.80,23.99,17.12,19.70,23.78,17.03,19.86,24.17
1990-01-01,63.74123679247037,-68.51145396725407,16.65,19.60,23.38,16.30,19.41,23.51,16.26,19.56,23.51
1991-01-01,63.74123679247037,-68.51145396725407,15.37,18.36,23.14,15.30,18.48,23.10,15.32,18.30,23.10
1992-01-01,63.74123679247037,-68.51145396725407,16.34,18.74,23.09,16.28,19.03,23.17,16.28,18.78,23.21
1993-01-01,63.74123679247037,-68.51145396725407,15.46,18.29,24.39,15.58,18.19,24.38,15.07,18.26,24.39
1994-01-01,63.74123679247037,-68.51145396725407,17.07,19.60,24.16,17.61,19.54,23.47,17.19,19.60,24.42
1995-01-01,63.74123679247037,-68.51145396725407,14.94,18.70,22.73,14.97,18.67,22.72,14.99,18.67,22.73
1996-01-01,63.74123679247037,-68.51145396725407,17.59,21.12,23.44,17.58,20.92,23.47,17.72,21.17,24.10
1997-01-01,63.74123679247037,-68.51145396725407,16.70,19.66,23.33,17.00,19.62,23.33,17.02,19.59,23.30
1998-01-01,63.74123679247037,-68.51145396725407,17.35,20.00,23.18,17.23,20.13,23.21,17.43,20.06,23.22
1999-01-01,63.74123679247037,-68.51145396725407,16.22,20.04,23.76,16.23,19.90,23.19,16.18,19.71,23.69
2000-01-01,63.74123679247037,-68.51145396725407,17.05,21.21,24.38,17.06,21.11,24.38,17.06,21.21,24.38
2001-01-01,63.74123679247037,-68.51145396725407,17.79,21.31,23.75,17.80,21.31,24.13,17.83,21.18,23.78
2002-01-01,63.74123679247037,-68.51145396725407,16.23,20.78,24.38,16.31,20.77,24.46,16.22,20.41,24.38
2003-01-01,63.74123679247037,-68.51145396725407,16.21,19.25,23.14,16.42,19.17,23.05,16.22,19.18,22.81
2004-01-01,63.74123679247037,-68.51145396725407,18.06,21.06,24.06,18.43,21.06,24.11,18.41,21.00,23.65
2005-01-01,63.74123679247037,-68.51145396725407,17.74,20.83,23.73,17.60,21.24,23.44,17.51,20.88,23.69
2006-01-01,63.74123679247037,-68.51145396725407,17.48,20.88,25.24,17.29,20.02,25.13,17.68,20.65,25.18
2007-01-01,63.74123679247037,-68.51145396725407,16.51,20.38,23.34,16.49,20.28,23.65,16.12,20.88,25.31
2008-01-01,63.74123679247037,-68.51145396725407,18.08,21.29,25.26,17.59,23.13,26.84,17.18,19.94,24.22
2009-01-01,63.74123679247037,-68.51145396725407,16.31,19.77,23.35,16.61,21.50,25.03,17.15,21.00,23.46
2010-01-01,63.74123679247037,-68.51145396725407,15.89,19.92,22.95,15.42,20.04,23.98,16.59,20.65,23.59
2011-01-01,63.74123679247037,-68.51145396725407,17.08,22.11,23.96,15.68,18.57,24.21,17.55,20.15,24.29
2012-01-01,63.74123679247037,-68.51145396725407,17.19,19.38,23.40,17.08,21.35,23.90,17.21,20.09,24.22
2013-01-01,63.74123679247037,-68.51145396725407,16.31,19.22,22.67,16.99,20.29,23.62,16.56,20.43,24.41
2014-01-01,63.74123679247037,-68.51145396725407,16.44,19.24,22.25,16.51,19.44,22.71,16.67,19.61,23.36
2015-01-01,63.74123679247037,-68.51145396725407,18.02,21.87,24.42,17.89,21.44,26.04,16.83,20.33,25.74
2016-01-01,63.74123679247037,-68.51145396725407,18.21,20.35,24.39,18.17,20.51,24.01,15.71,22.17,25.02
2017-01-01,63.74123679247037,-68.51145396725407,16.52,20.97,24.32,16.64,20.51,24.65,16.69,20.74,23.67
2018-01-01,63.74123679247037,-68.51145396725407,16.77,20.40,23.97,17.18,19.42,25.85,17.41,19.14,21.41
2019-01-01,63.74123679247037,-68.51145396725407,17.80,20.56,23.81,18.04,22.10,24.83,16.16,19.93,23.84
2020-01-01,63.74123679247037,-68.51145396725407,16.83,19.78,24.30,15.28,19.52,24.14,17.20,20.75,24.45
2021-01-01,63.74123679247037,-68.51145396725407,17.74,20.92,24.98,17.02,21.28,25.98,17.47,20.84,25.83
2022-01-01,63.74123679247037,-68.51145396725407,17.30,22.20,24.17,17.28,20.13,23.92,17.40,21.40,25.49
2023-01-01,63.74123679247037,-68.51145396725407,17.18,19.65,23.50,18.42,20.56,24.17,15.99,20.33,24.70
2024-01-01,63.74123679247037,-68.51145396725407,16.35,21.49,24.15,17.59,20.12,23.59,17.66,20.82,24.91
2025-01-01,63.74123679247037,-68.51145396725407,17.99,21.93,25.41,16.75,22.45,25.92,15.95,20.62,24.74
2026-01-01,63.74123679247037,-68.51145396725407,17.73,21.17,23.23,18.42,21.40,25.99,18.11,20.32,24.75
2027-01-01,63.74123679247037,-68.51145396725407,18.16,22.58,26.15,18.39,21.69,24.10,18.15,22.18,24.33
