STATION_NAME,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,MAX_TEMPERATURE
SHERINGHAM POINT,BC,2003,1,9.074193548,31,3.4,15
SHERINGHAM POINT,BC,2003,2,6.889285714,28,0.9,11.6
SHERINGHAM POINT,BC,2003,3,8.25483871,31,0.9,14.4
SHERINGHAM POINT,BC,2003,4,9.083333333,30,3,17.6
SHERINGHAM POINT,BC,2003,5,10.67741935,31,3.5,19
SHERINGHAM POINT,BC,2003,6,14.02666667,30,8.9,32.6
SHERINGHAM POINT,BC,2003,7,14.33870968,31,9.6,24
SHERINGHAM POINT,BC,2003,8,14.14516129,31,9.2,24.6
SHERINGHAM POINT,BC,2003,9,14.49,30,7.7,27
SHERINGHAM POINT,BC,2003,10,12.24193548,31,3.4,20.2
SHERINGHAM POINT,BC,2003,11,7.323333333,30,1.5,14
SHERINGHAM POINT,BC,2003,12,7.116129032,31,1.1,14.1
SHERINGHAM POINT,BC,2004,1,6.480645161,31,-6.1,15.1
SHERINGHAM POINT,BC,2004,2,8.051724138,29,2.5,13.7
SHERINGHAM POINT,BC,2004,3,8.75483871,31,2.4,19.7
SHERINGHAM POINT,BC,2004,4,11.12666667,30,5.1,22.4
SHERINGHAM POINT,BC,2004,5,12.04193548,31,7.6,20.9
SHERINGHAM POINT,BC,2004,6,13.88666667,30,9.5,29.8
SHERINGHAM POINT,BC,2004,7,15.58709677,31,10,31.5
SHERINGHAM POINT,BC,2004,8,15.39354839,31,9.4,29.4
SHERINGHAM POINT,BC,2004,9,13.45,30,8.3,19.6
SHERINGHAM POINT,BC,2004,10,11.6,31,5.9,18.8
SHERINGHAM POINT,BC,2004,11,8.853333333,30,3.2,17.5
SHERINGHAM POINT,BC,2004,12,7.825806452,31,3.6,15.1
SHERINGHAM POINT,BC,2005,1,6.548387097,31,-1.6,17.8
SHERINGHAM POINT,BC,2005,2,6.957142857,28,1.3,13.2
SHERINGHAM POINT,BC,2005,3,9.219354839,31,4,16.5
SHERINGHAM POINT,BC,2005,4,9.733333333,30,4.8,19.4
SHERINGHAM POINT,BC,2005,5,12.95555556,27,8.2,27.8
SHERINGHAM POINT,BC,2005,6,13.07,30,9.1,23.1
SHERINGHAM POINT,BC,2005,7,14.38064516,31,8.9,23.4
SHERINGHAM POINT,BC,2005,8,14.2516129,31,9.7,26.3
SHERINGHAM POINT,BC,2005,9,12.93,30,6.5,18.4
SHERINGHAM POINT,BC,2005,10,11.37741935,31,6.7,17.3
SHERINGHAM POINT,BC,2005,11,7.196666667,30,2.2,14.6
SHERINGHAM POINT,BC,2005,12,7.164516129,31,0.9,17
SHERINGHAM POINT,BC,2006,1,7.938709677,31,1.9,13.8
SHERINGHAM POINT,BC,2006,2,6.507142857,28,-0.8,14.1
SHERINGHAM POINT,BC,2006,3,7.393548387,31,0.7,14.8
SHERINGHAM POINT,BC,2006,4,9.213333333,30,3.3,16.8
SHERINGHAM POINT,BC,2006,5,11.19677419,31,6,23.4
SHERINGHAM POINT,BC,2006,6,13.39,30,9.7,25.4
SHERINGHAM POINT,BC,2006,7,14.06774194,31,9.1,29
SHERINGHAM POINT,BC,2006,8,13.10967742,31,8.3,20.1
SHERINGHAM POINT,BC,2006,9,13.26666667,30,7.8,25.1
SHERINGHAM POINT,BC,2006,10,10.6483871,31,1.7,19.7
SHERINGHAM POINT,BC,2006,11,7.49,30,-6,16.6
SHERINGHAM POINT,BC,2006,12,6.896666667,30,2.2,12.8
SHERINGHAM POINT,BC,2007,1,5.570967742,31,-2.1,13
SHERINGHAM POINT,BC,2007,2,7.107142857,28,0.1,14.1
SHERINGHAM POINT,BC,2007,3,7.796774194,31,0.3,14.2
SHERINGHAM POINT,BC,2007,4,8.623333333,30,1.5,17.1
SHERINGHAM POINT,BC,2007,5,9.188888889,9,5.6,12.7
SHERINGHAM POINT,BC,2007,6,,0,,
SHERINGHAM POINT,BC,2007,7,14.895,20,10.1,20.8
SHERINGHAM POINT,BC,2007,8,14.41612903,31,10.7,22.7
SHERINGHAM POINT,BC,2007,9,12.97333333,30,8.1,23
SHERINGHAM POINT,BC,2007,10,10.72903226,31,5.8,18.8
SHERINGHAM POINT,BC,2007,11,7.97,30,2.2,14.3
SHERINGHAM POINT,BC,2007,12,5.996774194,31,1.1,14.5
SHERINGHAM POINT,BC,2008,1,5.335483871,31,0.9,12.6
SHERINGHAM POINT,BC,2008,2,6.737931034,29,1.5,10.8
SHERINGHAM POINT,BC,2008,3,6.293548387,31,1.9,11.5
SHERINGHAM POINT,BC,2008,4,7.163333333,30,2.7,13.4
SHERINGHAM POINT,BC,2008,5,10.6,31,5.7,22.3
SHERINGHAM POINT,BC,2008,6,11.7,30,6.9,24.4
SHERINGHAM POINT,BC,2008,7,13.10645161,31,8.9,20.7
SHERINGHAM POINT,BC,2008,8,14.38709677,31,8.8,25.3
SHERINGHAM POINT,BC,2008,9,13.64,30,7.3,21.9
SHERINGHAM POINT,BC,2008,10,10.48064516,31,5.8,17.9
SHERINGHAM POINT,BC,2008,11,9.646666667,30,3.9,17.5
SHERINGHAM POINT,BC,2008,12,3.838709677,31,-6.9,11.7
SHERINGHAM POINT,BC,2009,1,5.167741935,31,-0.3,10.3
SHERINGHAM POINT,BC,2009,2,5.985714286,28,-0.3,10.1
SHERINGHAM POINT,BC,2009,3,5.880645161,31,-2.5,14.5
SHERINGHAM POINT,BC,2009,4,8.6,30,1.4,15.3
SHERINGHAM POINT,BC,2009,5,10.92258065,31,5.8,21.6
SHERINGHAM POINT,BC,2009,6,13.57,30,7.6,26.2
SHERINGHAM POINT,BC,2009,7,14.80322581,31,8.6,29.4
SHERINGHAM POINT,BC,2009,8,14.37096774,31,10.3,23.5
SHERINGHAM POINT,BC,2009,9,14.26333333,30,8.4,22.3
SHERINGHAM POINT,BC,2009,10,10.93548387,31,5.4,18.1
SHERINGHAM POINT,BC,2009,11,8.666666667,30,2.1,15.5
SHERINGHAM POINT,BC,2009,12,5.348387097,31,-2,12.5
SHERINGHAM POINT,BC,2010,1,8.935483871,31,4.8,14.4
SHERINGHAM POINT,BC,2010,2,8.632142857,28,4.7,14.2
SHERINGHAM POINT,BC,2010,3,8.287096774,31,2.7,14.8
SHERINGHAM POINT,BC,2010,4,9.47,30,3.6,16.6
SHERINGHAM POINT,BC,2010,5,10.41612903,31,3.7,17.1
SHERINGHAM POINT,BC,2010,6,12.53666667,30,7.5,19.2
SHERINGHAM POINT,BC,2010,7,13.19285714,28,8.6,30.1
SHERINGHAM POINT,BC,2010,8,12.95806452,31,7.3,27.5
SHERINGHAM POINT,BC,2010,9,12.58666667,30,7.7,18.9
SHERINGHAM POINT,BC,2010,10,10.63548387,31,5.4,18.3
SHERINGHAM POINT,BC,2010,11,6.196666667,30,-7,15.1
SHERINGHAM POINT,BC,2010,12,6.241935484,31,-1.6,12.1
SHERINGHAM POINT,BC,2011,1,5.216129032,31,-0.7,10.9
SHERINGHAM POINT,BC,2011,2,4.146428571,28,-5.8,10.5
SHERINGHAM POINT,BC,2011,3,6.6,31,0.5,13.4
SHERINGHAM POINT,BC,2011,4,6.123333333,30,0.4,12.9
SHERINGHAM POINT,BC,2011,5,8.922580645,31,4.4,15.8
SHERINGHAM POINT,BC,2011,6,11.32333333,30,7.6,17.7
SHERINGHAM POINT,BC,2011,7,12.12,30,8.3,18.2
SHERINGHAM POINT,BC,2011,8,12.88387097,31,8.3,21.1
SHERINGHAM POINT,BC,2011,9,13.37333333,30,7.2,24.9
SHERINGHAM POINT,BC,2011,10,9.938709677,31,5.2,15.1
SHERINGHAM POINT,BC,2011,11,6.516666667,30,0.5,14
SHERINGHAM POINT,BC,2011,12,5.416129032,31,0.2,10.7
SHERINGHAM POINT,BC,2012,1,4.916129032,31,-3.4,14.4
SHERINGHAM POINT,BC,2012,2,6.137931034,29,-1.3,13.9
SHERINGHAM POINT,BC,2012,3,5.638709677,31,0.3,12.6
SHERINGHAM POINT,BC,2012,4,8.306666667,30,2.3,15.1
SHERINGHAM POINT,BC,2012,5,9.567741935,31,4.9,18.3
SHERINGHAM POINT,BC,2012,6,10.83666667,30,6.3,16.9
SHERINGHAM POINT,BC,2012,7,11.83870968,31,8.2,16.7
SHERINGHAM POINT,BC,2012,8,13.65483871,31,8.5,26.4
SHERINGHAM POINT,BC,2012,9,12.53666667,30,6.1,24
SHERINGHAM POINT,BC,2012,10,10.13870968,31,3.9,18.4
SHERINGHAM POINT,BC,2012,11,8.303571429,28,2.5,14.6
SHERINGHAM POINT,BC,2012,12,6.141935484,31,0.7,11.7
SHERINGHAM POINT,BC,2013,1,5.164516129,31,0.4,11.3
SHERINGHAM POINT,BC,2013,2,6.392857143,28,2.4,10.1
SHERINGHAM POINT,BC,2013,3,7.06,30,2,16.6
SHERINGHAM POINT,BC,2013,4,8.466666667,30,3.1,14
SHERINGHAM POINT,BC,2013,5,11.17096774,31,4.7,23.1
SHERINGHAM POINT,BC,2013,6,12.53,30,8.3,20.9
SHERINGHAM POINT,BC,2013,7,13.08333333,30,8.5,26.8
SHERINGHAM POINT,BC,2013,8,13.83548387,31,8.9,21.6
SHERINGHAM POINT,BC,2013,9,13.65,30,8.8,26.7
SHERINGHAM POINT,BC,2013,10,10.12580645,31,5.5,16.9
SHERINGHAM POINT,BC,2013,11,7.673333333,30,1.5,14.7
SHERINGHAM POINT,BC,2013,12,4.609677419,31,-4.3,10
SHERINGHAM POINT,BC,2014,1,6.236666667,30,1.5,12.2
SHERINGHAM POINT,BC,2014,2,4.580769231,26,-4.7,12.2
SHERINGHAM POINT,BC,2014,3,7.596774194,31,2.5,13.3
SHERINGHAM POINT,BC,2014,4,9.396666667,30,5.3,17.1
SHERINGHAM POINT,BC,2014,5,12.22903226,31,7.7,22.8
SHERINGHAM POINT,BC,2014,6,12.30666667,30,8.5,19.5
SHERINGHAM POINT,BC,2014,7,13.34516129,31,8.8,27.7
SHERINGHAM POINT,BC,2014,8,14.0483871,31,8.6,24.1
SHERINGHAM POINT,BC,2014,9,14.67333333,30,9.2,24.7
SHERINGHAM POINT,BC,2014,10,12.90322581,31,8.6,21.3
SHERINGHAM POINT,BC,2014,11,8.4,30,-2.5,16.3
SHERINGHAM POINT,BC,2014,12,7.816129032,31,-0.6,16.3
SHERINGHAM POINT,BC,2015,1,7.864516129,31,0.2,13.4
SHERINGHAM POINT,BC,2015,2,9.548148148,27,5.1,14.4
SHERINGHAM POINT,BC,2015,3,9.109677419,31,3.9,16.1
SHERINGHAM POINT,BC,2015,4,8.783333333,30,3.8,17.2
SHERINGHAM POINT,BC,2015,5,10.72258065,31,6.7,22.6
SHERINGHAM POINT,BC,2015,6,12.88,30,8.8,24.1
SHERINGHAM POINT,BC,2015,7,14.72258065,31,10.2,25.3
SHERINGHAM POINT,BC,2015,8,15.07096774,31,9.3,26.7
SHERINGHAM POINT,BC,2015,9,13.22,30,8.4,21.9
SHERINGHAM POINT,BC,2015,10,12.37741935,31,8,18.9
SHERINGHAM POINT,BC,2015,11,7.726666667,30,1.3,13.9
SHERINGHAM POINT,BC,2015,12,8.445,20,3.3,14.7
SHERINGHAM POINT,BC,2016,1,6.6,3,3.3,9.3
SHERINGHAM POINT,BC,2016,2,8.486206897,29,4.3,14
SHERINGHAM POINT,BC,2016,3,9.051612903,31,3.8,16.4
SHERINGHAM POINT,BC,2016,4,10.91666667,30,5.8,19.3
SHERINGHAM POINT,BC,2016,5,12.25483871,31,7.6,22.4
SHERINGHAM POINT,BC,2016,6,12.67666667,30,8.1,24.5
SHERINGHAM POINT,BC,2016,7,13.70967742,31,10.1,18.7
SHERINGHAM POINT,BC,2016,8,14.93548387,31,10.1,29.8
SHERINGHAM POINT,BC,2016,9,13.01333333,30,8.2,20.6
SHERINGHAM POINT,BC,2016,10,11.53548387,31,5.6,17.7
SHERINGHAM POINT,BC,2016,11,10.57666667,30,5,18.8
SHERINGHAM POINT,BC,2016,12,4.290322581,31,-2.1,11.9
SHERINGHAM POINT,BC,2017,1,4.674193548,31,-1.5,13.1
SHERINGHAM POINT,BC,2017,2,5.211111111,27,-1.3,13.3
SHERINGHAM POINT,BC,2017,3,6.832258065,31,0.9,12.6
SHERINGHAM POINT,BC,2017,4,9.06,30,4.5,16.1
SHERINGHAM POINT,BC,2017,5,10.70322581,31,5.3,21.8
SHERINGHAM POINT,BC,2017,6,12.76,30,8.4,25.8
SHERINGHAM POINT,BC,2017,7,13.01290323,31,9.2,18.7
SHERINGHAM POINT,BC,2017,8,14.43548387,31,9,30.4
SHERINGHAM POINT,BC,2017,9,14.26333333,30,8.6,27.6
SHERINGHAM POINT,BC,2017,10,11.00322581,31,6.5,17.1
SHERINGHAM POINT,BC,2017,11,8.153333333,30,1.1,16.7
SHERINGHAM POINT,BC,2017,12,5.929032258,31,-0.3,12
SHERINGHAM POINT,BC,2018,1,7.148387097,31,1.4,15.9
SHERINGHAM POINT,BC,2018,2,5.164,25,-2.7,11.6
SHERINGHAM POINT,BC,2018,3,8.492,25,1.1,18
SHERINGHAM POINT,BC,2018,5,,0,10.7,
SHERINGHAM POINT,BC,2018,12,7.916666667,18,3.7,17.8
SHERINGHAM POINT,BC,2019,1,7.739285714,28,3.2,12.6
SHERINGHAM POINT,BC,2019,2,3.165384615,26,-3.7,9
