STATION_NAME,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,MAX_TEMPERATURE
CARIBOU POINT (AUT),NS,2003,1,-8.367741935,31,-20.7,4.6
CARIBOU POINT (AUT),NS,2003,2,-8.014285714,28,-25.9,6.4
CARIBOU POINT (AUT),NS,2003,3,-3.14516129,31,-17.2,12.6
CARIBOU POINT (AUT),NS,2003,4,1.523333333,30,-8.1,19.1
CARIBOU POINT (AUT),NS,2003,5,7.882758621,29,0.3,23.5
CARIBOU POINT (AUT),NS,2003,6,15.17931034,29,7.4,31.9
CARIBOU POINT (AUT),NS,2003,7,20.63548387,31,13.4,28.8
CARIBOU POINT (AUT),NS,2003,8,18.49032258,31,9.6,27.7
CARIBOU POINT (AUT),NS,2003,9,16.775,28,7,24.9
CARIBOU POINT (AUT),NS,2003,10,10.64516129,31,0.8,20.6
CARIBOU POINT (AUT),NS,2003,11,5.033333333,30,-3.9,17.2
CARIBOU POINT (AUT),NS,2003,12,-0.413333333,30,-11.3,11.2
CARIBOU POINT (AUT),NS,2004,1,-9.683870968,31,-25,5.8
CARIBOU POINT (AUT),NS,2004,2,-6.351724138,29,-20.8,5.4
CARIBOU POINT (AUT),NS,2004,3,-2.609677419,31,-16.1,8.5
CARIBOU POINT (AUT),NS,2004,4,3.196666667,30,-1.6,15.7
CARIBOU POINT (AUT),NS,2004,5,8.516129032,31,2,27.7
CARIBOU POINT (AUT),NS,2004,6,12.116,25,5.1,25.8
CARIBOU POINT (AUT),NS,2004,7,18.63548387,31,11.4,30
CARIBOU POINT (AUT),NS,2004,8,20.20322581,31,12,29.5
CARIBOU POINT (AUT),NS,2004,9,14.99333333,30,6.6,24.9
CARIBOU POINT (AUT),NS,2004,10,11.13225806,31,1.2,21
CARIBOU POINT (AUT),NS,2004,11,4.19,30,-3.5,15.7
CARIBOU POINT (AUT),NS,2004,12,-1.022580645,31,-17.1,13
CARIBOU POINT (AUT),NS,2005,1,-7.416129032,31,-20.6,13
CARIBOU POINT (AUT),NS,2005,2,-5.760714286,28,-19.1,7.1
CARIBOU POINT (AUT),NS,2005,3,-2.24516129,31,-12.4,10
CARIBOU POINT (AUT),NS,2005,4,4.52,30,-4,16.3
CARIBOU POINT (AUT),NS,2005,5,7.177419355,31,-0.4,17.4
CARIBOU POINT (AUT),NS,2005,6,14.98666667,30,5.9,29.6
CARIBOU POINT (AUT),NS,2005,7,18.9,31,12,30.2
CARIBOU POINT (AUT),NS,2005,8,19.90967742,31,12,31.6
CARIBOU POINT (AUT),NS,2005,9,16.84333333,30,6.8,26.7
CARIBOU POINT (AUT),NS,2005,10,11.46774194,31,1.9,24.3
CARIBOU POINT (AUT),NS,2005,11,6.6,30,-3.3,16.9
CARIBOU POINT (AUT),NS,2005,12,-0.558064516,31,-10.4,12.9
CARIBOU POINT (AUT),NS,2006,1,-0.470967742,31,-9.2,13.5
CARIBOU POINT (AUT),NS,2006,2,-4.496428571,28,-17.8,10.1
CARIBOU POINT (AUT),NS,2006,3,-1.022580645,31,-17.7,10.8
CARIBOU POINT (AUT),NS,2006,4,5.13,30,0,17.5
CARIBOU POINT (AUT),NS,2006,5,10.82903226,31,3.4,20.6
CARIBOU POINT (AUT),NS,2006,6,16.99545455,22,9.4,27.6
CARIBOU POINT (AUT),NS,2006,7,20.92903226,31,13.8,29.7
CARIBOU POINT (AUT),NS,2006,8,18.09032258,31,10.1,26.7
CARIBOU POINT (AUT),NS,2006,9,16.15666667,30,7.2,25.9
CARIBOU POINT (AUT),NS,2006,10,10.55483871,31,1.3,23.8
CARIBOU POINT (AUT),NS,2006,11,7.186666667,30,-1.8,19.4
CARIBOU POINT (AUT),NS,2006,12,0.577419355,31,-11.2,13
CARIBOU POINT (AUT),NS,2007,1,-3.874193548,31,-20.5,13.6
CARIBOU POINT (AUT),NS,2007,2,-7.678571429,28,-20.4,3.7
