Date, RCP 2.6 Range (low), RCP 2.6 Median, RCP 2.6 Range (high), RCP 4.5 Range (low), RCP 4.5 Median, RCP 4.5 Range (high), RCP 8.5 Range (low), RCP 8.5 Median, RCP 8.5 Range (high)
01-01-00,6.87,7.34,8.2,6.87,7.34,8.19,6.87,7.35,8.18
01-01-01,6.46,7.17,8.15,6.44,7.16,8.16,6.45,7.17,8.13
01-01-02,6.76,7.45,8.03,6.79,7.44,8.04,6.75,7.44,8.03
01-01-03,6.87,7.46,8.7,6.87,7.44,8.67,6.87,7.46,8.67
01-01-04,6.64,7.43,8.15,6.65,7.45,8.13,6.63,7.43,8.16
01-01-05,6.6,7.43,8.51,6.6,7.43,8.45,6.6,7.44,8.56
01-01-06,6.64,7.42,8.25,6.97,7.4,8.71,6.82,7.49,8.04
01-01-07,6.68,7.36,8.08,7.24,7.94,8.64,6.68,7.53,8.41
01-01-08,7.03,7.63,8.22,6.59,7.63,8.26,7.19,7.67,8.77
01-01-09,6.89,7.8,8.79,7.03,7.75,9.04,6.78,7.68,8.79
01-01-10,6.22,7.36,8.59,6.57,7.6,8.2,6.25,7.66,8.26
01-01-11,6.51,7.41,8.61,6.77,7.62,8.33,6.29,7.67,8.35
01-01-12,6.96,7.73,8.93,6.96,7.55,8.96,6.73,7.49,8.36
01-01-13,6.76,7.71,8.46,6.82,7.59,8.38,6.92,7.74,8.62
01-01-14,6.49,7.57,8.12,6.62,7.6,8.99,7.07,7.89,8.6
01-01-15,6.9,7.58,8.53,7.03,7.57,8.58,6.89,7.64,8.46
01-01-16,7.04,7.78,8.99,6.71,7.4,8.71,7.17,7.79,8.69
01-01-17,7.07,7.95,8.67,7.22,7.62,8.25,7.09,8.01,8.79
01-01-18,6.73,7.41,9.06,7.03,7.73,8.55,6.98,8.13,9.2
01-01-19,7.1,7.75,9.06,6.91,7.96,8.67,6.9,8.13,8.8
01-01-20,7.16,7.96,9.27,7.12,7.92,8.84,6.63,7.83,8.71
01-01-21,6.99,7.73,9.13,7.17,8.06,8.93,7.27,7.78,8.53
01-01-22,7.11,7.71,9.18,7.22,8.02,9.21,7.75,8.03,8.74
01-01-23,7.35,8.13,8.84,6.89,7.93,9.36,7.31,8.04,9.23
01-01-24,6.31,7.98,8.94,7.45,8.13,8.89,7.57,8.39,8.88
01-01-25,7.5,8.2,9.91,7.33,8.31,9.68,7.4,8.17,9.25
01-01-26,7.13,8.16,9.18,7.59,8.15,9.35,7.3,8.34,9.44
01-01-27,7.15,8.02,9.21,7.36,8.34,9.35,6.79,8.12,9.82
01-01-28,7.2,8.22,9.25,7.47,8.33,9.46,7.1,8.22,9.25
01-01-29,7.77,8.04,9.01,6.89,7.97,9.13,7.38,8.26,9.03
01-01-30,7.25,8.05,9.45,7.18,8.23,9.06,7.58,8.41,9.61
01-01-31,7.14,8.48,9.61,7.23,8.46,9.6,7.7,8.55,9.23
01-01-32,7.47,8.44,9.68,7.38,8.28,9.45,7.8,8.62,9.73
01-01-33,7,8.22,9.44,7.71,8.76,10.47,7.82,8.54,9.13
01-01-34,7.42,8.24,9.83,8.4,8.96,9.75,7.62,8.86,10.4
01-01-35,7.6,8.47,10.2,7.76,8.91,9.76,7.6,9,10.73
01-01-36,7.63,8.83,9.78,7.46,8.6,10.02,8.04,8.73,10.71
01-01-37,7.35,8.46,9.49,7.54,8.28,10,8.01,8.78,10.12
01-01-38,7.81,8.77,9.55,7.75,8.73,10.47,8.03,9.1,10.63
01-01-39,7.53,8.63,10.01,7.66,8.83,10.1,8.33,8.83,10.36
01-01-40,7.29,8.45,9.48,7.58,8.54,9.65,7.9,8.84,9.48
01-01-41,7.78,8.61,9.51,7.34,8.71,9.93,7.81,8.84,9.86
01-01-42,7.62,8.18,9.49,8.1,8.97,9.72,7.49,8.74,10.09
01-01-43,7.68,8.5,9.54,8.1,9.01,9.68,8.12,9.11,9.84
01-01-44,7.47,8.44,9.3,7.71,8.63,9.52,7.77,8.98,10.12
01-01-45,7.59,8.66,9.72,7.99,8.86,9.79,7.9,8.84,9.85
01-01-46,7.74,8.49,10.32,7.96,9.08,10.21,8.38,9.13,9.89
01-01-47,7.72,8.49,9.86,8.36,9.2,10.07,8.38,9.26,10.34
01-01-48,7.03,8.53,10.03,7.7,8.94,9.64,8.41,9.31,10.94
01-01-49,7.53,8.63,9.51,8.09,8.82,9.63,8.15,9.37,10.43
01-01-50,8.06,8.62,9.46,7.34,8.81,10.02,8.55,9.83,10.74
01-01-51,7.7,8.44,10.74,7.9,9.12,10.22,8.51,9.75,11.83
01-01-52,7.59,8.42,10.28,8.07,9.05,10.35,8.52,9.63,11.03
01-01-53,7.43,8.61,9.88,8.3,9.26,9.86,9.02,9.65,10.94
01-01-54,7.5,9.07,10.14,8.28,8.89,10.28,8.93,9.77,11.76
01-01-55,7.79,8.79,10.26,8.4,9.25,10.35,8.69,9.85,11.47
01-01-56,7.45,8.45,10.06,8.36,9.26,10.92,8.92,10.21,11.53
01-01-57,7.88,8.29,10.28,8.46,9.12,10.7,8.62,9.79,10.96
01-01-58,8.01,8.72,10.24,8.42,9.19,10.21,8.77,10.44,11.47
01-01-59,7.52,8.74,9.97,8.14,9.28,10.26,9.2,10.22,11.58
01-01-60,7.39,8.33,10.11,8.12,9.29,10.72,9.59,10.39,11.78
01-01-61,7.91,8.81,10.12,8.05,9.62,11.46,9.19,10.21,11.54
01-01-62,7.56,8.68,9.92,8.55,9.83,10.81,9.18,10.49,11.7
01-01-63,7.59,8.81,9.78,8.27,9.43,10.91,9.7,10.73,12.05
01-01-64,7.35,8.56,10.55,8.41,9.47,11.24,10.08,10.79,11.47
01-01-65,7.57,8.83,10.2,8.79,9.26,10.64,9.73,10.89,12.13
01-01-66,7.17,8.65,9.75,8.4,9.28,10.84,9.45,10.84,12.59
01-01-67,7.35,8.78,9.97,8.03,9.48,11.43,9.9,10.93,11.96
01-01-68,7.76,8.93,9.85,8.26,9.12,10.84,9.9,10.87,12.57
01-01-69,7.7,8.9,10.09,8.35,9.22,11.02,9.96,11.39,12.59
01-01-70,7.59,8.54,9.7,8.08,9.17,10.59,9.35,10.77,12.21
01-01-71,7.46,8.57,9.6,8.63,9.75,10.7,9.7,10.7,12.11
01-01-72,7.65,8.52,10.08,8.24,9.31,10.52,9.65,10.62,12.07
01-01-73,7.51,8.9,10.23,8.17,9.68,11.05,9.7,10.85,12.25
01-01-74,7.56,8.48,10.23,8.18,9.21,10.65,9.55,10.91,12.52
01-01-75,7.62,8.56,10.02,8.66,9.63,11.11,10.27,11.14,12.62
01-01-76,7.46,8.43,9.74,8.46,9.35,11.03,9.92,10.91,12.61
01-01-77,7.48,8.86,9.47,8.47,10.21,10.88,9.82,11.23,12.51
01-01-78,8.13,8.62,9.31,8.29,9.81,11.22,9.8,11.05,12.44
01-01-79,7.71,8.69,10.06,8.69,9.46,10.83,10.08,11.28,12.6
01-01-80,7.64,8.55,10.03,8.67,9.51,10.85,9.91,11.36,12.96
01-01-81,7.05,8.72,10.05,8.27,9.72,10.96,10.34,11.47,12.82
01-01-82,7.3,8.24,9.4,8.75,9.61,10.82,10.76,11.56,13.15
01-01-83,7.7,8.35,9.43,8.67,9.94,11.39,10.43,11.81,13.22
01-01-84,7.61,8.73,10.04,8.34,9.74,10.85,10.2,11.65,13.35
01-01-85,7.73,8.67,10.33,8.38,9.82,11.11,10.25,11.85,13.71
01-01-86,7.66,8.54,10.11,8.83,9.63,10.87,10.37,11.43,13.65
01-01-87,7.71,8.78,10.49,8.66,9.56,10.77,10.58,12.04,13.58
01-01-88,7.96,8.97,9.84,8.34,9.54,11.09,10.48,11.9,13.97
01-01-89,7.57,8.58,10.31,8.75,9.77,10.79,10.28,12.23,13.94
01-01-90,7.72,8.59,9.91,8.64,9.61,11.24,10.56,12.24,14.04
01-01-91,8.04,8.96,9.96,8.44,9.96,11.29,11.14,12.2,14.32
01-01-92,7.38,8.45,9.63,8.83,10.05,11.93,10.58,12.47,14.34
01-01-93,7.67,8.29,9.94,8.44,10.26,10.81,11.69,12.49,14.08
01-01-94,7.45,8.72,9.52,8.59,9.71,11.08,11.21,12.5,13.69
01-01-95,7.63,8.54,9.51,8.21,9.71,11.01,11.12,12.29,14.55
01-01-96,7.63,8.61,9.41,9.21,10.17,11.3,10.96,12.52,14.09
01-01-97,7.99,8.75,9.49,9,9.71,11.24,11.47,13.01,14.68
01-01-98,7.81,8.75,9.64,8.83,9.94,11.25,11.34,12.81,15.11
01-01-99,7.63,8.4,10.04,8.55,10.11,11.46,11.87,13.15,14.36
