Date, RCP 2.6 Range (low), RCP 2.6 Median, RCP 2.6 Range (high), RCP 4.5 Range (low), RCP 4.5 Median, RCP 4.5 Range (high), RCP 8.5 Range (low), RCP 8.5 Median, RCP 8.5 Range (high)
01-01-00,8.5,9.14,9.92,8.5,9.15,9.9,8.5,9.15,9.89
01-01-01,8.1,9.17,9.54,8.1,9.17,9.52,8.09,9.17,9.54
01-01-02,8.85,9.38,9.88,8.84,9.36,9.92,8.85,9.36,9.9
01-01-03,8.51,9.15,9.91,8.51,9.15,9.92,8.51,9.16,9.91
01-01-04,8.37,9.14,10.36,8.35,9.15,10.36,8.36,9.15,10.38
01-01-05,8.44,9,10.09,8.46,8.99,10.1,8.45,9.03,10.11
01-01-06,8.23,9.19,10.08,8.56,9.21,10.17,8.65,9.38,9.77
01-01-07,8.54,9.04,9.5,8.98,9.64,10.49,8.37,9.33,10.18
01-01-08,8.6,9.11,10.19,8.17,9.27,9.71,8.51,9.45,10.79
01-01-09,8.63,9.39,10.34,8.38,9.27,10.31,8.66,9.45,10.21
01-01-10,8.72,9.34,10.11,8.75,9.56,10.38,8.52,9.6,10.19
01-01-11,8.75,9.77,10.59,8.66,9.76,10.74,8.56,9.78,10.41
01-01-12,8.6,9.81,10.6,8.45,9.65,10.68,9.2,9.89,10.61
01-01-13,8.83,9.89,10.52,8.42,9.8,10.47,8.96,9.54,10.77
01-01-14,8.66,9.66,10.36,8.99,9.95,11.38,8.92,10.14,10.93
01-01-15,8.25,9.59,10.5,8.74,9.86,10.51,8.37,9.81,10.68
01-01-16,8.93,10,10.69,8.6,9.75,10.59,8.75,9.75,10.64
01-01-17,9.21,10.12,11.01,9.14,9.63,10.52,8.52,10.37,11.07
01-01-18,8.96,9.69,10.59,8.99,9.57,10.2,8.85,9.88,11.19
01-01-19,8.61,9.81,11.12,9.01,9.45,10.6,9.32,9.91,10.92
01-01-20,9.03,9.89,10.93,8.94,10.03,10.67,8.91,10.23,11.11
01-01-21,8.84,10.14,10.89,9.32,10.08,11.08,9.13,9.86,10.97
01-01-22,8.8,9.95,11.2,8.81,9.85,10.57,9.15,10,10.98
01-01-23,9.18,10.19,11.21,8.91,9.92,11.46,9.03,10.2,11.31
01-01-24,9.34,10.16,11.1,9.4,10.12,11.25,9.62,10.09,11.24
01-01-25,8.86,10.2,11.32,9.3,10.45,11.17,9.27,10.2,11
01-01-26,9.1,9.71,11.09,9.19,10.39,11.25,9.42,10.02,10.8
01-01-27,9.14,10.53,10.96,9.34,10.19,11.61,8.87,10.11,11.68
01-01-28,8.74,10.28,11.23,9.47,10.19,11.55,8.79,10.69,11.24
01-01-29,9.53,10,10.73,8.92,10.09,11.01,9.1,10.36,11.48
01-01-30,9.1,10.11,11.15,8.94,10.47,11.57,9.67,10.5,11.56
01-01-31,9.18,10.27,11.61,9.6,10.25,11.71,9.61,10.52,11.77
01-01-32,9.02,10.17,11.16,9.2,10.21,11.59,9.75,10.66,11.22
01-01-33,9.29,10.17,10.88,9.9,10.5,11.41,9.47,10.54,11.57
01-01-34,9.35,10.34,11.48,9.66,10.68,11.54,9.76,10.56,12.05
01-01-35,9.32,10.29,11.52,9.92,10.83,11.92,9.59,10.81,12.24
01-01-36,9.56,10.53,11.62,9.28,10.46,11.91,9.82,10.81,11.78
01-01-37,9.38,10.4,11.93,9.6,10.46,11.54,9.91,10.88,12
01-01-38,9.26,10.49,11.53,9.84,10.98,11.89,10.04,11.14,12.16
