STATION_NAME,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,MAX_TEMPERATURE
L'ASSOMPTION,QC,2003,1,-14.3,31,-30.5,0.9
L'ASSOMPTION,QC,2003,2,-12.725,28,-31.8,3
L'ASSOMPTION,QC,2003,3,-5.162068966,29,-28.8,13.1
L'ASSOMPTION,QC,2003,4,3.386666667,30,-12.3,23.2
L'ASSOMPTION,QC,2003,5,12.22580645,31,1.2,28.1
L'ASSOMPTION,QC,2003,6,18.03,30,4.6,33.8
L'ASSOMPTION,QC,2003,7,20.29677419,31,10.6,30.8
L'ASSOMPTION,QC,2003,8,19.98064516,31,6.7,30
L'ASSOMPTION,QC,2003,9,16.34333333,30,3.8,30.1
L'ASSOMPTION,QC,2003,10,7.093548387,31,-3.1,22.7
L'ASSOMPTION,QC,2003,11,2.19,30,-9.4,18.4
L'ASSOMPTION,QC,2003,12,-6.289285714,28,-18.6,4.3
L'ASSOMPTION,QC,2004,1,-16.23870968,31,-34.7,4.1
L'ASSOMPTION,QC,2004,2,-9.534482759,29,-28.8,4
L'ASSOMPTION,QC,2004,3,-1.735483871,31,-19.3,12.2
L'ASSOMPTION,QC,2004,4,5.36,30,-7.4,26.6
L'ASSOMPTION,QC,2004,5,12.3483871,31,-2.3,28.8
L'ASSOMPTION,QC,2004,6,16.59,30,5.3,30.1
L'ASSOMPTION,QC,2004,7,20.07419355,31,9,29.8
L'ASSOMPTION,QC,2004,8,18.11290323,31,6,29.2
L'ASSOMPTION,QC,2004,9,14.96666667,30,1.9,26.2
L'ASSOMPTION,QC,2004,10,7.951612903,31,-4.1,23.8
L'ASSOMPTION,QC,2004,11,1.156666667,30,-10.3,8.9
L'ASSOMPTION,QC,2004,12,-9.493548387,31,-28.8,8
L'ASSOMPTION,QC,2005,1,-12.70645161,31,-30.5,8.6
L'ASSOMPTION,QC,2005,2,-8.446428571,28,-25.1,5.3
L'ASSOMPTION,QC,2005,3,-4.670967742,31,-20.6,11
L'ASSOMPTION,QC,2005,4,6.624137931,29,-3.5,23.3
