STATION_NAME,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,MAX_TEMPERATURE
TORONTO CITY,ON,2003,1,-6.626666667,30,-20.4,5.5
TORONTO CITY,ON,2003,2,-5.546428571,28,-19.4,6.1
TORONTO CITY,ON,2003,3,0.558064516,31,-23.3,17
TORONTO CITY,ON,2003,4,5.906896552,29,-7.8,26.4
TORONTO CITY,ON,2003,5,12.86,30,6.1,22.9
TORONTO CITY,ON,2003,6,18.60333333,30,6.7,33.6
TORONTO CITY,ON,2003,7,21.72258065,31,13.4,31.6
TORONTO CITY,ON,2003,8,22.70967742,31,12.7,32.5
TORONTO CITY,ON,2003,9,17.84333333,30,5.5,27.6
TORONTO CITY,ON,2003,10,10.03870968,31,1.2,23.6
TORONTO CITY,ON,2003,11,5.72,30,-3.8,17.8
TORONTO CITY,ON,2003,12,0.996774194,31,-8.4,8.7
TORONTO CITY,ON,2004,1,-7.941935484,31,-22.1,13.3
TORONTO CITY,ON,2004,2,-2,29,-16.9,10.6
TORONTO CITY,ON,2004,3,3.190322581,31,-9.4,18.8
TORONTO CITY,ON,2004,4,7.423333333,30,-6.2,23.3
TORONTO CITY,ON,2004,5,13.61935484,31,0,28
TORONTO CITY,ON,2004,6,18.03,30,9.6,32.7
TORONTO CITY,ON,2004,7,21.13225806,31,13.2,29.9
TORONTO CITY,ON,2004,8,20.00967742,31,10.7,29.5
TORONTO CITY,ON,2004,9,18.90333333,30,7.5,28.3
TORONTO CITY,ON,2004,10,11.22258065,31,3.8,23.2
TORONTO CITY,ON,2004,11,6.273333333,30,-3,15.4
TORONTO CITY,ON,2004,12,-1.538709677,31,-23.3,11.1
TORONTO CITY,ON,2005,1,-5.380645161,31,-22.7,15
TORONTO CITY,ON,2005,2,-2.242857143,28,-12.6,7.7
TORONTO CITY,ON,2005,3,-0.374193548,31,-13.9,13.9
TORONTO CITY,ON,2005,4,8.646666667,30,1.1,24
TORONTO CITY,ON,2005,5,12.57419355,31,1.9,25.5
TORONTO CITY,ON,2005,6,22.78333333,30,12.4,32.7
TORONTO CITY,ON,2005,7,24.33225806,31,13.9,34.4
TORONTO CITY,ON,2005,8,23.1516129,31,15.1,33.5
TORONTO CITY,ON,2005,9,19.68,30,8.2,31
TORONTO CITY,ON,2005,10,11.84193548,31,2.1,26.1
TORONTO CITY,ON,2005,11,6.11,30,-11.2,19.4
TORONTO CITY,ON,2005,12,-2.209677419,31,-12.9,5.4
TORONTO CITY,ON,2006,1,1.122580645,31,-12.4,12
TORONTO CITY,ON,2006,2,-2.382142857,28,-13.1,8.4
TORONTO CITY,ON,2006,3,2.425806452,31,-9.4,16.3
TORONTO CITY,ON,2006,4,8.94,30,-3.1,20
TORONTO CITY,ON,2006,5,15.07096774,31,3.9,32.5
TORONTO CITY,ON,2006,6,19.85666667,30,9,31.7
TORONTO CITY,ON,2006,7,23.41290323,31,13.3,33.1
TORONTO CITY,ON,2006,8,21.58064516,31,12.6,36.8
TORONTO CITY,ON,2006,9,16.28666667,30,6.2,26.9
TORONTO CITY,ON,2006,10,9.709677419,31,1.4,23.8
TORONTO CITY,ON,2006,11,6.423333333,30,-1.2,15.3
TORONTO CITY,ON,2006,12,2.870967742,31,-11.1,13.6
TORONTO CITY,ON,2007,1,-1.658064516,31,-15.8,11.9
TORONTO CITY,ON,2007,2,-6.857142857,28,-18.5,5.9
TORONTO CITY,ON,2007,3,1.425806452,31,-20.9,16.9
TORONTO CITY,ON,2007,4,6.94,30,-6,22.8
TORONTO CITY,ON,2007,5,15.09354839,31,6,30.1
TORONTO CITY,ON,2007,6,20.99333333,30,7.4,33.2
TORONTO CITY,ON,2007,7,21.44193548,31,11.7,34.7
TORONTO CITY,ON,2007,8,22.73548387,31,11.8,33.9
TORONTO CITY,ON,2007,9,18.69333333,30,6.6,31
TORONTO CITY,ON,2007,10,14.51290323,31,1.5,30.8
TORONTO CITY,ON,2007,11,3.833333333,30,-8.2,15.5
TORONTO CITY,ON,2007,12,-1.180645161,31,-11.9,8.8
TORONTO CITY,ON,2008,1,-0.851612903,31,-15.3,13.9
TORONTO CITY,ON,2008,2,-3.472413793,29,-16.8,9.1
TORONTO CITY,ON,2008,3,-0.332258065,31,-11,11.7
TORONTO CITY,ON,2008,4,10.24333333,30,-2.7,24.2
TORONTO CITY,ON,2008,5,12.72580645,31,3.5,28
TORONTO CITY,ON,2008,6,19.99333333,30,10.6,33.5
TORONTO CITY,ON,2008,7,22.20322581,31,14.5,29.9
TORONTO CITY,ON,2008,8,20.65483871,31,12.8,30.2
TORONTO CITY,ON,2008,9,17.82666667,30,9,28.7
TORONTO CITY,ON,2008,10,10.18709677,31,-0.9,22.4
TORONTO CITY,ON,2008,11,4.366666667,30,-8.3,18
TORONTO CITY,ON,2008,12,-1.835483871,31,-16,13.3
TORONTO CITY,ON,2009,1,-6.996774194,31,-19.3,4
TORONTO CITY,ON,2009,2,-1.992857143,28,-17.5,9.8
TORONTO CITY,ON,2009,3,2.05483871,31,-14.8,17.4
TORONTO CITY,ON,2009,4,8.563333333,30,-3.3,26.8
TORONTO CITY,ON,2009,5,14.12413793,29,3.4,26.3
TORONTO CITY,ON,2009,6,18.16,30,9,30.6
TORONTO CITY,ON,2009,7,19.83870968,31,12.4,28.7
TORONTO CITY,ON,2009,8,21.57096774,31,11,32
TORONTO CITY,ON,2009,9,17.90666667,30,6.6,28.2
TORONTO CITY,ON,2009,10,9.487096774,31,0.9,17.1
TORONTO CITY,ON,2009,11,7.586666667,30,-0.7,18.3
TORONTO CITY,ON,2009,12,-1.048387097,31,-14.6,10.3
TORONTO CITY,ON,2010,1,-4.158064516,31,-18,7.9
TORONTO CITY,ON,2010,2,-2.067857143,28,-11.2,5.4
TORONTO CITY,ON,2010,3,5.612903226,31,-5.6,19.6
TORONTO CITY,ON,2010,4,11.42,30,1.7,24.3
TORONTO CITY,ON,2010,5,17.23793103,29,2,30.6
TORONTO CITY,ON,2010,6,19.97666667,30,10,30.8
TORONTO CITY,ON,2010,7,23.92258065,31,12.3,34.2
TORONTO CITY,ON,2010,8,22.74516129,31,12,32.6
TORONTO CITY,ON,2010,9,17.00666667,30,8.6,31.2
TORONTO CITY,ON,2010,10,11.03225806,31,0.4,24
TORONTO CITY,ON,2010,11,5.88,30,-1.2,14.5
TORONTO CITY,ON,2010,12,-2.764516129,31,-12.6,11.3
TORONTO CITY,ON,2011,1,-5.216129032,31,-18.5,10.7
TORONTO CITY,ON,2011,2,-3.782142857,28,-14.5,11.1
TORONTO CITY,ON,2011,3,0.751612903,31,-9.9,16.2
TORONTO CITY,ON,2011,4,7.673333333,30,-0.1,22.5
TORONTO CITY,ON,2011,5,14.52258065,31,5,29.6
TORONTO CITY,ON,2011,6,19.78666667,30,10.4,34.2
TORONTO CITY,ON,2011,7,24.86774194,31,14.6,38.2
TORONTO CITY,ON,2011,8,22.49677419,31,13.2,32.4
TORONTO CITY,ON,2011,9,18.5,30,7.2,30.8
TORONTO CITY,ON,2011,10,11.5,31,0.5,25.5
TORONTO CITY,ON,2011,11,7.586666667,30,-1.2,17.1
TORONTO CITY,ON,2011,12,1.980645161,31,-10.3,13.1
TORONTO CITY,ON,2012,1,-0.587096774,31,-14.6,11.4
TORONTO CITY,ON,2012,2,0.889655172,29,-12.3,10.9
TORONTO CITY,ON,2012,3,7.219354839,31,-12.9,24.3
TORONTO CITY,ON,2012,4,8.093333333,30,-0.3,25.3
TORONTO CITY,ON,2012,5,17.08064516,31,5.9,30
TORONTO CITY,ON,2012,6,21.00333333,30,10.8,33.6
TORONTO CITY,ON,2012,7,24.66774194,31,17.2,36.7
TORONTO CITY,ON,2012,8,22.10967742,31,12.6,33
TORONTO CITY,ON,2012,9,17.2,30,6,28.8
TORONTO CITY,ON,2012,10,11.11612903,31,2.5,22.9
TORONTO CITY,ON,2012,11,4.77,30,-5,18.1
TORONTO CITY,ON,2012,12,1.94137931,29,-6.8,15.4
TORONTO CITY,ON,2013,1,-0.983870968,31,-18.4,14.7
TORONTO CITY,ON,2013,2,-2.996428571,28,-14.2,8
TORONTO CITY,ON,2013,3,1.387096774,31,-7.9,13.3
TORONTO CITY,ON,2013,4,6.87,30,-4.4,21.2
TORONTO CITY,ON,2013,5,15.58387097,31,2.2,29
TORONTO CITY,ON,2013,6,19.23666667,30,8.2,32.3
TORONTO CITY,ON,2013,7,22.71666667,30,13.6,35.4
TORONTO CITY,ON,2013,8,21.43548387,31,12.3,29.9
TORONTO CITY,ON,2013,9,16.54666667,30,6.3,31.3
TORONTO CITY,ON,2013,10,12.32758621,29,2.3,25.7
TORONTO CITY,ON,2013,11,3.24,30,-11.2,15.7
TORONTO CITY,ON,2013,12,-3.24,30,-15,5.6
TORONTO CITY,ON,2014,1,-7.022580645,31,-22.3,7.4
TORONTO CITY,ON,2014,2,-6.192857143,28,-17.7,7.8
TORONTO CITY,ON,2014,3,-2.8,31,-18.4,10.6
TORONTO CITY,ON,2014,4,6.84137931,29,-5,20.3
TORONTO CITY,ON,2014,5,14.61935484,31,4.1,30.1
TORONTO CITY,ON,2014,6,20.29333333,30,11.6,29.8
TORONTO CITY,ON,2014,7,20.66129032,31,11.7,30.3
TORONTO CITY,ON,2014,8,20.73214286,28,13.2,30
TORONTO CITY,ON,2014,9,17.19,30,6.3,29.7
TORONTO CITY,ON,2014,10,11.49354839,31,2.1,22.3
TORONTO CITY,ON,2014,11,2.831034483,29,-12.8,16
TORONTO CITY,ON,2014,12,0.856666667,30,-8.7,10.6
TORONTO CITY,ON,2015,1,-6.183333333,30,-19.5,5.5
TORONTO CITY,ON,2015,2,-11.09642857,28,-25.1,-0.7
TORONTO CITY,ON,2015,3,-0.796774194,31,-15.1,9.7
TORONTO CITY,ON,2015,4,8.15,30,-1.5,20.9
TORONTO CITY,ON,2015,5,16.2516129,31,4.1,28
TORONTO CITY,ON,2015,6,18.14,30,9.5,28.5
TORONTO CITY,ON,2015,7,21.87096774,31,11.4,32.2
TORONTO CITY,ON,2015,8,21.11612903,31,12.9,31.6
TORONTO CITY,ON,2015,9,20.00333333,30,9,32.8
TORONTO CITY,ON,2015,10,10.69354839,31,0.1,22.6
TORONTO CITY,ON,2015,11,7.414814815,27,-4,20
TORONTO CITY,ON,2015,12,5.056666667,30,-5.4,14.4
TORONTO CITY,ON,2016,1,-2.262068966,29,-14.2,9.9
TORONTO CITY,ON,2016,2,-1.234482759,29,-24.7,15.6
TORONTO CITY,ON,2016,3,3.490322581,31,-10.3,18.6
TORONTO CITY,ON,2016,4,6.208,25,-6.8,23.3
TORONTO CITY,ON,2016,5,15.50645161,31,2.4,31.5
TORONTO CITY,ON,2016,6,20.02758621,29,8,33.2
TORONTO CITY,ON,2016,7,23.8,31,13.2,35.5
TORONTO CITY,ON,2016,8,24.33793103,29,14.1,33.9
TORONTO CITY,ON,2016,9,19.8,29,9.7,34.1
TORONTO CITY,ON,2016,10,12.54516129,31,0.9,24.9
TORONTO CITY,ON,2016,11,7.686206897,29,-2.6,19.4
TORONTO CITY,ON,2016,12,-0.386666667,30,-11.7,10.1
TORONTO CITY,ON,2017,1,-0.532258065,31,-11.8,9.8
TORONTO CITY,ON,2017,2,1.014285714,28,-11.1,19.1
TORONTO CITY,ON,2017,3,0.066666667,30,-12.5,14.7
TORONTO CITY,ON,2017,4,9.544827586,29,0.1,25.4
TORONTO CITY,ON,2017,5,12.22592593,27,3,29.9
TORONTO CITY,ON,2017,6,19.4137931,29,9.6,30.4
TORONTO CITY,ON,2017,7,21.77419355,31,15.1,31.1
TORONTO CITY,ON,2017,8,20.5516129,31,11.4,29.6
TORONTO CITY,ON,2017,9,19.24333333,30,7,31.7
TORONTO CITY,ON,2017,10,14.13666667,30,3.9,24.7
TORONTO CITY,ON,2017,11,4.725,28,-9.3,15
TORONTO CITY,ON,2017,12,-3.906451613,31,-20.2,10.8
TORONTO CITY,ON,2018,1,-4.383870968,31,-22.3,11.9
TORONTO CITY,ON,2018,2,-0.759259259,27,-15,15.5
TORONTO CITY,ON,2018,3,1.04,25,-6.7,8.3
TORONTO CITY,ON,2018,4,4.45862069,29,-4.4,19.7
TORONTO CITY,ON,2018,5,16.98709677,31,6.3,30.1
TORONTO CITY,ON,2018,6,19.675,28,10.9,33
TORONTO CITY,ON,2018,7,23.33076923,26,14.6,33
TORONTO CITY,ON,2018,8,23.48064516,31,15.7,32.3
TORONTO CITY,ON,2018,9,19.41,30,9.5,32.3
TORONTO CITY,ON,2018,10,9.64516129,31,0,26.4
TORONTO CITY,ON,2018,11,2.324137931,29,-12.3,16.4
TORONTO CITY,ON,2018,12,0.844827586,29,-7.7,11.3
TORONTO CITY,ON,2019,1,-5.358064516,31,-21.5,8.7
TORONTO CITY,ON,2019,2,-2.942857143,28,-17.7,11.7
TORONTO CITY,ON,2019,3,0.141935484,31,-13,11.6
TORONTO CITY,ON,2019,4,7.14137931,29,-4.4,19.9
TORONTO CITY,ON,2019,5,12.36129032,31,3.8,25.9
TORONTO CITY,ON,2019,6,18.71666667,30,7.1,29.5
TORONTO CITY,ON,2019,7,23.46774194,31,15.9,33.8
TORONTO CITY,ON,2019,8,21.50666667,30,13,29.7
TORONTO CITY,ON,2019,9,17.98333333,30,10.4,29.9
TORONTO CITY,ON,2019,10,11.6483871,31,3.4,29.6
TORONTO CITY,ON,2019,11,2.02,30,-11.3,11.3
TORONTO CITY,ON,2019,12,0.53,30,-15,11.6
