STATION_NAME,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,MIN_TEMPERATURE,MAX_TEMPERATURE
BALDUR,MB,2003,1,-15.63548387,31,-34.5,5.5
BALDUR,MB,2003,2,-17.41785714,28,-34,4
BALDUR,MB,2003,3,-8.477419355,31,-36.5,16.5
BALDUR,MB,2003,4,5.603333333,30,-13,28
BALDUR,MB,2003,5,11.80967742,31,-3,29.5
BALDUR,MB,2003,6,16.12666667,30,0.5,30
BALDUR,MB,2003,7,19.76129032,31,5,33
BALDUR,MB,2003,8,21.39677419,31,6,37.5
BALDUR,MB,2003,9,12.79,30,-2.5,34
BALDUR,MB,2003,10,7.277419355,31,-6.5,30.5
BALDUR,MB,2003,11,-7.783333333,30,-22.5,9.5
BALDUR,MB,2003,12,-8.764516129,31,-26,4.5
BALDUR,MB,2004,1,-20.24516129,31,-38.5,-2.5
BALDUR,MB,2004,2,-10.82758621,29,-33,4
BALDUR,MB,2004,3,-4.425806452,31,-21.5,11
BALDUR,MB,2004,4,0.2344,30,-16,17
BALDUR,MB,2004,5,6.748387097,31,-10,25
BALDUR,MB,2004,6,14.03666667,30,0.5,29
BALDUR,MB,2004,7,17.61935484,31,3.5,31
BALDUR,MB,2004,8,14.00322581,31,-0.5,25.5
BALDUR,MB,2004,9,13.41333333,30,-2,29.5
BALDUR,MB,2004,10,5.451612903,31,-8.5,28
BALDUR,MB,2004,11,0.143333333,30,-13.5,15
BALDUR,MB,2004,12,-11.4483871,31,-29.5,8
BALDUR,MB,2005,1,-17.54516129,31,-36.5,2
BALDUR,MB,2005,2,-11.68214286,28,-32,5.5
BALDUR,MB,2005,3,-6.635483871,31,-24,8.5
BALDUR,MB,2005,4,6.916666667,30,-5,23.5
BALDUR,MB,2005,5,9.383870968,31,-9,27.5
BALDUR,MB,2005,6,16.61666667,30,5.5,30
BALDUR,MB,2005,7,19.28709677,31,6.5,32
BALDUR,MB,2005,8,17.14516129,31,5.5,33
BALDUR,MB,2005,9,13.71,30,0,29.5
BALDUR,MB,2005,10,6.096774194,31,-5,21
BALDUR,MB,2005,11,-2.593333333,30,-23,14
BALDUR,MB,2005,12,-8.75862069,29,-26.5,5
BALDUR,MB,2006,1,-6.022580645,31,-22.5,4.5
BALDUR,MB,2006,2,-13.93214286,28,-33.5,3.5
BALDUR,MB,2006,3,-5.829032258,31,-21,8
BALDUR,MB,2006,4,7.903333333,30,-7,26
BALDUR,MB,2006,5,11.21935484,31,-3.5,31
BALDUR,MB,2006,6,17.65,30,7,32
BALDUR,MB,2006,7,21.01612903,31,7.5,35.5
BALDUR,MB,2006,8,19.73793103,29,6,33
