Date, RCP 2.6 Range (low), RCP 2.6 Median, RCP 2.6 Range (high), RCP 4.5 Range (low), RCP 4.5 Median, RCP 4.5 Range (high), RCP 8.5 Range (low), RCP 8.5 Median, RCP 8.5 Range (high)
01-01-00,2.58,3.69,4.68,2.58,3.68,4.68,2.59,3.68,4.68
01-01-01,1.71,3.05,4,1.7,3.06,4,1.7,3.05,4.01
01-01-02,1.81,3.33,4.55,1.83,3.33,4.55,1.81,3.33,4.55
01-01-03,1.88,3.51,4.73,1.85,3.47,4.75,1.84,3.49,4.72
01-01-04,2.07,3.58,5.23,2.07,3.56,5.26,2.08,3.58,5.24
01-01-05,2.07,3.19,5,2.08,3.18,4.99,2.07,3.19,4.99
01-01-06,1.92,3.42,4.82,2.15,4.06,4.74,2.28,3.68,4.87
01-01-07,2.14,3.2,4.53,2.35,3.47,5.37,2.49,3.38,4.74
01-01-08,2.46,3.71,4.69,2.03,3.48,4.75,2.41,3.55,5.06
01-01-09,2.46,3.56,5.04,2.36,3.58,5.14,2.67,4.09,5.24
01-01-10,2.35,3.36,4.3,2.59,3.69,4.67,2.48,3.38,4.4
01-01-11,2.01,3.5,5.21,3.04,4.12,5.32,2.29,3.35,4.83
01-01-12,2.29,3.92,5.56,2.52,3.86,5,2.9,4.2,5.41
01-01-13,2.89,3.94,5.33,2.42,3.61,4.92,2.32,3.79,4.94
01-01-14,2.2,3.92,5.11,2.65,4.33,5.75,2.77,4.36,6.23
01-01-15,2.78,3.91,5.65,2.52,3.78,5.01,2.45,3.9,4.92
01-01-16,3.15,4.66,6.62,2.61,4.01,4.98,3.03,3.89,5.14
01-01-17,2.86,4.28,5.5,2.93,3.95,5.3,2.94,4.31,5.44
01-01-18,3.1,3.99,5.32,3.02,3.83,5.09,2.27,4.23,5.67
01-01-19,3.28,3.98,4.84,2.86,3.98,5.65,2.7,4.23,5.62
01-01-20,2.8,4.26,5.5,2.37,3.62,5.63,2.76,4.37,5.12
01-01-21,2.91,4.63,5.74,2.63,3.86,5.97,2.81,4.47,5.54
01-01-22,2.37,4.18,6.03,2.53,4.03,4.78,3.34,4.44,6.18
01-01-23,3.19,4.56,5.96,3.05,4.71,5.77,3.3,4.48,6.36
01-01-24,3.18,4.68,6.2,3.51,4.83,6.41,3.04,4.56,6.2
01-01-25,2.43,4.47,5.56,3.42,4.79,6.66,3.05,4.15,5.95
01-01-26,2.77,3.96,5.36,3.27,4.77,6.78,3.19,4.24,5.36
01-01-27,3.19,4.9,6.13,3.39,4.37,5.88,2.94,4.33,6.09
01-01-28,3.17,4.89,6.31,2.97,4.98,6.34,3.5,4.81,6.12
01-01-29,3.09,4.42,6.02,2.26,4.19,5.49,3.72,4.77,6.32
01-01-30,3.39,4.6,6.16,3.41,4.54,5.69,3.66,5.04,6.25
01-01-31,2.91,4.35,6.11,2.97,4.62,5.92,3.45,4.73,5.67
01-01-32,2.54,4.25,5.48,2.84,4.54,6.51,3.47,4.59,5.87
01-01-33,2.97,4.02,6.06,3.57,4.99,7.26,3.66,5.08,7.17
01-01-34,3.52,4.87,6.18,3.85,4.87,6.61,3.27,5.04,7.15
01-01-35,3.52,4.42,5.8,3.72,4.98,6.27,3.75,5.67,7
01-01-36,3.05,4.75,6.19,3.53,5.09,6.59,3.05,4.99,6.18
01-01-37,3.24,4.82,6.03,3.57,5.26,6.6,3.89,5.15,7.31
01-01-38,3.41,4.8,6.15,3.75,5.42,6.47,4.31,5.46,7.23
01-01-39,3.25,4.76,6.94,3.54,4.95,5.95,3.79,5.36,6.82
01-01-40,3.27,4.35,5.93,3.48,5.12,6.72,3.46,5.61,6.62
01-01-41,3.63,4.89,6.21,4.4,5.05,6.66,4.42,5.68,7.31
01-01-42,3.33,4.31,6.7,4.34,5.14,6.85,4.4,5.53,7.09
01-01-43,3.61,4.63,6.28,4.16,5.35,7.03,4.1,5.72,7.3
01-01-44,3.17,4.53,5.9,3.92,5.7,6.85,4.03,5.31,7.52
